epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
154,16817.2,1.38487,0.89399,1.15031,0.70014,0.75821,0.75554,0.43201,1.56884,0.83228,1.19754,0.00217166,0.00217166,0.00217166
155,16913.2,1.37542,0.8773,1.14191,0.70298,0.74208,0.75263,0.42978,1.57348,0.83448,1.19977,0.0021245,0.0021245,0.0021245
156,17011.2,1.37647,0.88166,1.14485,0.71507,0.73154,0.7475,0.43076,1.56971,0.83206,1.19749,0.00207817,0.00207817,0.00207817
157,17108.6,1.37067,0.87267,1.14006,0.71404,0.73814,0.74786,0.43388,1.55804,0.8288,1.19259,0.00203269,0.00203269,0.00203269
158,17206.8,1.36526,0.87361,1.14187,0.6992,0.74816,0.74256,0.43152,1.55914,0.82899,1.19279,0.00198806,0.00198806,0.00198806
159,17305.3,1.37454,0.877,1.14253,0.70237,0.74588,0.7454,0.43321,1.55731,0.82693,1.19122,0.0019443,0.0019443,0.0019443
160,17401.8,1.37228,0.87819,1.14296,0.69788,0.74333,0.74832,0.43187,1.56438,0.82796,1.19322,0.00190142,0.00190142,0.00190142
161,17498.1,1.37051,0.87449,1.14174,0.71591,0.72604,0.7518,0.43491,1.56361,0.82723,1.19267,0.00185942,0.00185942,0.00185942
162,17594.2,1.35884,0.86523,1.13701,0.73229,0.71867,0.75426,0.43502,1.56733,0.8276,1.19459,0.00181833,0.00181833,0.00181833
163,17689.5,1.36592,0.87032,1.13961,0.72028,0.73356,0.75527,0.43698,1.56607,0.82564,1.19391,0.00177814,0.00177814,0.00177814
164,17788.4,1.36193,0.86338,1.1363,0.71703,0.73697,0.75567,0.43439,1.57606,0.82744,1.19859,0.00173887,0.00173887,0.00173887
165,17885.4,1.35527,0.86264,1.1329,0.71755,0.73433,0.75563,0.43528,1.57327,0.82444,1.19688,0.00170052,0.00170052,0.00170052
166,17983.4,1.36288,0.86821,1.13899,0.70414,0.74511,0.75682,0.43267,1.58335,0.82773,1.20095,0.00166312,0.00166312,0.00166312
167,18080.2,1.35763,0.85993,1.13513,0.71462,0.74301,0.76284,0.43587,1.57835,0.82508,1.19913,0.00162666,0.00162666,0.00162666
168,18177,1.35898,0.86399,1.13601,0.71704,0.74142,0.76177,0.43347,1.58643,0.82708,1.20261,0.00159116,0.00159116,0.00159116
169,18273.2,1.35136,0.85835,1.13286,0.72756,0.73727,0.75955,0.43208,1.58211,0.82499,1.20019,0.00155662,0.00155662,0.00155662
170,18370.8,1.35392,0.86052,1.13873,0.7278,0.74839,0.76678,0.43558,1.56971,0.82031,1.1953,0.00152305,0.00152305,0.00152305
171,18467.9,1.3512,0.85735,1.13586,0.72298,0.74864,0.76709,0.43728,1.56966,0.81988,1.19566,0.00149047,0.00149047,0.00149047
172,18564.9,1.35083,0.85674,1.13716,0.73142,0.75435,0.77013,0.43805,1.56637,0.81904,1.19421,0.00145888,0.00145888,0.00145888
173,18661.3,1.35324,0.86579,1.13216,0.73118,0.74329,0.77023,0.43715,1.56992,0.82015,1.19457,0.00142828,0.00142828,0.00142828
174,18758.4,1.35012,0.85505,1.13051,0.7261,0.7514,0.76707,0.43354,1.57951,0.82152,1.1984,0.00139869,0.00139869,0.00139869
175,18854.7,1.34283,0.84777,1.12747,0.7213,0.74782,0.76666,0.43443,1.57469,0.82072,1.1966,0.0013701,0.0013701,0.0013701
176,18952.5,1.34527,0.84894,1.12802,0.72221,0.74618,0.76614,0.43596,1.57287,0.81983,1.19579,0.00134254,0.00134254,0.00134254
177,19044.5,1.3431,0.85148,1.12899,0.72066,0.7464,0.7588,0.43475,1.5747,0.8197,1.19638,0.00131601,0.00131601,0.00131601
178,19216.8,1.33422,0.84414,1.12442,0.72325,0.74723,0.75985,0.43702,1.56614,0.81677,1.19273,0.0012905,0.0012905,0.0012905
179,19314.3,1.34228,0.85238,1.12768,0.72269,0.74719,0.76019,0.43702,1.56603,0.8168,1.19249,0.00126604,0.00126604,0.00126604
180,19411.7,1.34222,0.84988,1.12758,0.73503,0.74119,0.76215,0.43868,1.56783,0.81734,1.19352,0.00124262,0.00124262,0.00124262
181,19508.3,1.34003,0.84518,1.12796,0.72762,0.74448,0.76387,0.43965,1.56809,0.81623,1.19362,0.00122025,0.00122025,0.00122025
